,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
VDL,Vidulum,Equihash1927,TRUE,PoW,0,100000000.00
HNC,Hellenic Coin,Scrypt,TRUE,PoW,,100000000.00
AHT,Ahoolee,Ethash,TRUE,PoW,,100000000.00
LWF,Local World Forwarders,DPoS,TRUE,DPoS,,100000000.00
WAVES,Waves,Leased POS,TRUE,LPoS,100000000,100000000.00
DVTC,DivotyCoin,Scrypt,FALSE,PoW/PoS,21491213.46,100000000.00
CLUD,CludCoin,Scrypt,TRUE,PoW,,100200000.00
BWS,BitcoinWSpectrum,SHA-256,TRUE,PoS,57811001,100262205.00
CROAT,Croat,CryptoNight,TRUE,PoW,,100467441.00
MARX,MarxCoin,X11,TRUE,PoW,0,100640000.00
DEA,Degas Coin,Scrypt,TRUE,PoW/PoS,21358764,105000000.00
QRL,Quantum Resistant Ledger,CryptoNight-V7,TRUE,PoW,69036016.83,105000000.00
PIRATE,PirateCash,Equihash,TRUE,PoS,13475920,105000000.00
BST,BlockStamp,SHA-256,TRUE,PoW,0,105000000.00
GRS,Groestlcoin,Groestl,TRUE,PoW,73298203.89,105000000.00
OK,OKCash,SHA-256,TRUE,PoW/PoS,74676064.95,105000000.00
SKR,Sakuracoin,Scrypt,TRUE,PoW,0,105100000.00
MONA,MonaCoin,Scrypt,TRUE,PoW,68194674.87,105120000.00
UMO,Universal Molecule,Blake,TRUE,PoW,1578281.313,105120001.44
JKC,JunkCoin,Scrypt,TRUE,PoW,,107000000.00
FRST,FirstCoin,Scrypt,TRUE,PoW/PoS ,110000000,110000000.00
IMX,Impact,X11,TRUE,PoW/PoS,110630387.9,110000000.00
LTCC,Listerclassic Coin,Scrypt,FALSE,PoW/PoS,8094818.389,110000000.00
ATMOS,Atmos,PoS,TRUE,PoS,111135836.9,110290030.00
SFR,SaffronCoin,Multiple,TRUE,PoW,,111000000.00
UNI,Universe,Scrypt,TRUE,PoS,0,112000000.00
CIN,CinderCoin,Multiple,TRUE,PoW/PoS,0,114000000.00
CREA,CreativeChain,Keccak,TRUE,PoW,0,115000000.00
KAPU,Kapu,DPoS,TRUE,DPoS,,115000000.00
HBN,HoboNickels,Scrypt,TRUE,PoW/PoS,89266933.68,120000000.00
ZED,ZedCoins,Scrypt,TRUE,PoW,,120000000.00
VUC,Virta Unique Coin,NIST5,TRUE,PoW/PoS,62942075,120000000.00
WAGE,Digiwage,Quark,TRUE,PoS,27299680,120000000.00
NDLC,NeedleCoin,X11,FALSE,PoS/PoW,,120000000.00
BLTG,Block-Logic,Scrypt,TRUE,PoW,35284717.17,120000000.00
LTS,Litestar Coin,X11,TRUE,PoW/PoS,,120000000.00
HANA,Hanacoin,Lyra2REv2,FALSE,PoW,,122500000.00
VLX,Velox,Scrypt,TRUE,PoS,25570013.13,124000000.00
ARK,ARK,DPoS,TRUE,DPoS,108202084,125000000.00
VIDZ,PureVidz,PoS,TRUE,PoS,,125000000.00
ZUR,Zurcoin,Quark,TRUE,PoW,0,126000000.00
HVC,HeavyCoin,Multiple,TRUE,PoW,,128000000.00
NTC,NineElevenTruthCoin,Scrypt,TRUE,PoW/PoS,,130528084.00
SABR,SABR Coin,Scrypt,TRUE,PoW/PoS,,133100000.00
CALC,CaliphCoin,SHA-256,TRUE,PoW,,135000000.00
SIGT,Signatum,SkunkHash v2 Raptor,TRUE,PoS,107972766,137500000.00
BSD,BitSend,X11,TRUE,PoW/PoS,24387724.5,139000000.00
RYC,RoyalCoin,Scrypt,TRUE,PoW,,140000000.00
DTEP,DECOIN,X11,TRUE,PoS,,140000000.00
RC,Russiacoin,Scrypt,TRUE,PoW/PoS,8377873,144000000.00
MAG,Magnet,X11,TRUE,PoW/PoS,38198594.83,144000000.00
STO,Save The Ocean,X11,TRUE,PoW/PoS,,150000000.00
SEND,Social Send,Quark,TRUE,PoW/PoS,,150000000.00
LTCU,LiteCoin Ultra,Scrypt,TRUE,PoW/PoS,8419402.321,150000000.00
STAK,Straks,Lyra2REv2,TRUE,PoW,,150000000.00
LOKI,Loki,CryptoNight Heavy,TRUE,PoW,19153632,150000000.00
LUNES,Lunes,Leased POS,TRUE,LPoS,,150728537.61
PIRL,Pirl,Dagger,TRUE,PoW,33986980,156306732.71
SEL,SelenCoin,PoS,TRUE,PoS,,159680000.00
LSK,Lisk,DPoS,TRUE,DPoS,120012140,159918400.00
FLO,Flo,Scrypt,TRUE,PoW,152270664.9,160000000.00
TCHB,Teachers Blockchain,Scrypt,TRUE,PoW,,160000000.00
CLUB, ClubCoin,Scrypt,TRUE,PoW/PoS,103621876.2,160000000.00
HUGE,BigCoin,Blake,TRUE,PoW,,164429865.00
FSTC,FastCoin,Scrypt,FALSE,PoW,,165888000.00
PTC,PesetaCoin,Scrypt,TRUE,PoW,137517654.4,166386000.00
AMC,AmericanCoin,Scrypt,TRUE,PoW,,168000000.00
MGD,MassGrid,Jump Consistent Hash,TRUE,PoW,135862416,168000000.00
GLT,GlobalToken,SHA-256,TRUE,PoW,84613100,168000000.00
YOC,YoCoin,Scrypt,TRUE,PoW,636462.5598,168351300.00
ZET,ZetaCoin,SHA-256,TRUE,PoW,170204389.8,169795588.00
WASH,WashingtonCoin,X11,TRUE,PoW/PoS,,170000000.00
NIX,NIX,Lyra2REv2,TRUE,PoW,0,175000000.00
PAK,Pakcoin,Scrypt,TRUE,PoW,69684455.44,182000000.00
MONETA,Moneta,Scrypt,TRUE,PoW,,184000000.00
CTL,Citadel,CryptoNight-V7,TRUE,PoW,10969318.52,185000000.00
NKA,IncaKoin,SHA-256,TRUE,PoW/PoS,17939725045,190000000.00
YBC,YbCoin,Multiple,TRUE,PoS,,200000000.00
ALN,AlienCoin,Scrypt,TRUE,PoW,,200000000.00
MED,MediterraneanCoin,HybridScryptHash256,TRUE,PoW,40431856.9,200000000.00
MUDRA,MudraCoin,X13,TRUE,PoS,5000000,200000000.00
KMD,Komodo,Equihash,TRUE,dPoW/PoW,115898131,200000000.00
DOPE,DopeCoin,Scrypt,TRUE,PoW,116845228,200000000.00
ICOB,Icobid,Scrypt,TRUE,PoW/PoS,0,200000000.00
BTDX,Bitcloud 2.0,Quark,TRUE,PoW/PoS,30711550.53,200000000.00
AET,AfterEther,Ethash,FALSE,PoW,,200000000.00
CARE,Carebit,Quark,TRUE,PoW/PoS,139739596.5,200000000.00
TWISTR,TWIST,SHA-512,FALSE,PoS,200000000,200000000.00
OC,OrangeCoin,Scrypt,TRUE,PoW/PoS,3537150,200000000.00
AVE,Avesta,Avesta hash,FALSE,PoW,,200000000.00
ADM,Adamant,DPoS,TRUE,DPoS,,200000000.00
USC,Ultimate Secure Cash,SHA-256,TRUE,PoS,10343113,200084200.00
BRAZ,Brazio,HMQ1725,FALSE,PoW,75579791.71,207000000.00
CPC,CapriCoin,X11,TRUE,PoW/PoS,201364327.4,208000000.00
ETC,Ethereum Classic,Ethash,TRUE,PoW,113359703,210000000.00
NBL,Nybble,Scrypt,TRUE,PoW,,210000000.00
BCR,BitCredit,Momentum,TRUE,PoW,0,210000000.00
XFC,Forever Coin,X11,TRUE,PoS,,210000000.00
RVR,Revolution VR,Scrypt,TRUE,PoW,210000000,210000000.00
UNIT,Universal Currency,SHA-256,TRUE,PoW/PoS,0,210000000.00
BNX,BnrtxCoin,X11,TRUE,PoW,0,210000000.00
XCT,C-Bits,SHA-256,TRUE,PoW,,210000000.00
BCD,Bitcoin Diamond,X13,TRUE,PoW/PoS,183534024.9,210000000.00
CNBC,Cash & Back Coin,Scrypt,TRUE,PoW/PoS,110976977.3,210000000.00
WOBTC,WorldBTC,Scrypt,FALSE,PoW/PoS,,210000000.00
ZEL,Zelcash,Equihash,TRUE,PoW/PoS,0,210000000.00
URALS,Urals Coin,XEVAN,TRUE,PoW,14746153.1,210000000.00
KETAN,Ketan,PoS,TRUE,PoS,9327131.597,210000000.00
ZEX,Zaddex,Equihash,FALSE,PoW,,210000000.00
TCR,TecraCoin,Lyra2Z,FALSE,PoW,40874452.48,210000000.00
ALF,AlphaCoin,Scrypt,TRUE,PoW,,210182000.00
SONG,Song Coin,Scrypt,TRUE,PoW,32565300,210240000.00
MNTC,Manet Coin,Scrypt,TRUE,PoW/PoS,,215000000.00
VOT,Votecoin,Equihash,TRUE,PoW,,220000000.00
GPU,GPU Coin,Scrypt,TRUE,PoS,40477042,221052632.00
REV,Revenu,SHA-256,TRUE,PoW/PoS,1195525,222725000.00
KURT,Kurrent,X11,TRUE,PoW,61364813,228000000.00
USX,Unified Society USDEX,Scrypt,TRUE,PoW/PoS,234846265.8,232000000.00
GIOT,Giotto Coin,Scrypt,FALSE,PoW/PoS,,233100000.00
SKULL,Pirate Blocks,X11,TRUE,PoW/PoS,,240000000.00
QRK,QuarkCoin,Quark,TRUE,PoW,259557164.9,247000000.00
SXC,SexCoin,Scrypt,TRUE,PoW,128940951.2,250000000.00
SBC,StableCoin,Scrypt,TRUE,PoW,24215181.73,250000000.00
ZNY,BitZeny,Scrypt,TRUE,PoW,75614500,250000000.00
MYC,MayaCoin,Scrypt,TRUE,PoW/PoS,,250000000.00
RNC,ReturnCoin,X11,TRUE,PoS,,250000000.00
NTCC,NeptuneClassic,X11,TRUE,PoW/PoS,0,250000000.00
CHARM,Charm Coin,NeoScrypt,TRUE,PoW,,250000000.00
YCE,MYCE,Scrypt,FALSE,PoW/PoS,63613903.88,250000000.00
XAP,Apollon,Quark,TRUE,PoW/PoS,0,250000000.00
GAP,Gapcoin,Scrypt,TRUE,PoW/PoS,14931046.15,250000000.00
TRAID,Traid,NeoScrypt,TRUE,PoW/PoS,0,252000000.00
POA,Poa Network,Proof-of-Authority,TRUE,PoA,204479039,252460800.00
XMV,MoneroV,CryptoNight,TRUE,PoW,,256000000.00
MNZ,Monaize,Equihash,TRUE,PoW/DPoW,,257142857.00
MMO,MMOCoin,Scrypt,TRUE,PoS,107763867.9,260000000.00
BEAM,Beam,Equihash,TRUE,PoW,35687520,262800000.00
KGC,KrugerCoin,Scrypt,TRUE,PoW,151447649.8,265420800.00
WDC,WorldCoin,Scrypt,TRUE,PoW,119606941,265420800.00
GOON,Goonies,Scrypt,TRUE,PoW,,270875968.00
N7,Number7,Scrypt,TRUE,PoW,,270967742.00
ELLA,Ellaism,Ethash,TRUE,PoW,12756367,280000000.00
BLAZR,BlazerCoin,Scrypt,TRUE,PoW,,294336000.00
EMC2,Einsteinium,Scrypt,TRUE,PoW,218871896.5,299792458.00
QBT,Cubits,SHA-256,TRUE,PoW/PoS,,300000000.00
RGC,RG Coin,NIST5,TRUE,PoW/PoS,,300000000.00
BDL,Bitdeal,Scrypt,TRUE,PoW,0,300000000.00
ICC,Insta Cash Coin,SHA-256,FALSE,PoW,0,300000000.00
ALPS,Alpenschillling,Lyra2Z,TRUE,PoW,27340501.65,300000000.00
AUX,Auxilium,Keccak,FALSE,PoA,,300000000.00
XWC,WhiteCoin,Scrypt,TRUE,PoW/PoS,252005564.2,300000000.00
THC,The Hempcoin,Scrypt,TRUE,PoW/PoS,0,300000000.00
TEAM,TeamUP,PoS,TRUE,PoS,17818682.17,301000000.00
GOTX,GothicCoin,Scrypt,TRUE,PoW,,313333333.00
YMC,YamahaCoin,Scrypt,TRUE,PoW,,315000000.00
ARI,AriCoin,Scrypt,TRUE,PoW,,322649400.00
NZC,NewZealandCoin,Scrypt,TRUE,PoW,,335800000.00
FTC,FeatherCoin,NeoScrypt,TRUE,PoW,208669093,336000000.00
NBR,Niobio Cash,CryptoNight,TRUE,PoW,133932467.8,336000000.00
NYAN,NyanCoin,Scrypt,TRUE,PoW,334709223.5,337000000.00
NANO,Nano,Blake2b,TRUE,PoW,133248297,340282367.00
KOBO,KoboCoin,X15,TRUE,PoW/PoS,25542535.59,350000000.00
REE,ReeCoin,Scrypt,TRUE,PoW/PoS,0,350000000.00
PURA,Pura,X11,TRUE,PoW,175215859,350000000.00
SHA,Shacoin,SHA-256,TRUE,PoS,,350000000.00
FTP,FuturePoints,X11,TRUE,PoS,,360000000.00
NGIN,Ngin,M00N,FALSE,PoW,,360000000.00
XDNA,XDNA,Keccak,TRUE,PoW/PoS,4672513.844,366000000.00
ERC,EuropeCoin,X11,TRUE,PoW/PoS,10407269.79,384000000.00
SAK,SharkCoin,SHA-256,TRUE,PoW,,400000000.00
MARV,Marvelous,Scrypt,TRUE,PoW,,400000000.00
MCRN,MacronCoin,PoS,TRUE,PoS,401421401,400000000.00
TZC,TrezarCoin,NeoScrypt,TRUE,PoW/PoS,182638400,400000000.00
MI,XiaoMiCoin,Scrypt,TRUE,PoW/PoS,404316475.5,400000000.00
SWI,Swinca,Quark,FALSE,PoW/PoS,,400000000.00
BHC,BighanCoin,Quark,TRUE,PoW,,411000000.00
POT,PotCoin,Scrypt,TRUE,PoW/PoS,222677226,420000000.00
MOOND,Dark Moon,Scrypt,TRUE,PoW/PoS,,420000000.00
AWR,Award,X11,TRUE,PoW/PoS,15420234.54,420000000.00
VULC,Vulcano,NIST5,TRUE,PoS/PoW,,421126225.00
XGB,GoldenBird,X13,TRUE,PoW/PoS,0,450000000.00
MUSIC,Musicoin,Ethash,TRUE,PoW,0,454898394.00
CNC,ChinaCoin,Scrypt,TRUE,PoW,,462500000.00
POKER,PokerCoin,Scrypt,FALSE,PoS/PoW,0,466666667.00
TEC,TeCoin,Multiple,TRUE,PoW,,469521976.00
GIVE,GiveCoin,X11,TRUE,PoW,,500000000.00
GML,GameLeagueCoin,Scrypt,TRUE,PoW/PoS,,500000000.00
SJCX,StorjCoin,Counterparty,TRUE,PoS,51173144,500000000.00
NOTE,Dnotes,Scrypt,TRUE,PoS,174646113.9,500000000.00
CJ,CryptoJacks,X13,TRUE,PoW/PoS,,500000000.00
EXB,ExaByte (EXB),SHA-256,TRUE,PoW,,500000000.00
UBIQ,Ubiqoin,Progressive-n,TRUE,PoS,,500000000.00
DGORE,DogeGoreCoin,X11,TRUE,PoW/PoS,,500000000.00
ZECD,ZCashDarkCoin,Scrypt,TRUE,PoW,,500000000.00
ATX,ArtexCoin,X11,TRUE,PoW,824000000,500000000.00
KED,Klingon Empire Darsek,Scrypt,TRUE,PoW/PoS,23965372,500000000.00
TSE,TattooCoin,Scrypt,TRUE,PoW/PoS,,500000000.00
BOAT,Doubloon,536,TRUE,PoW/PoS,,500000000.00
RAIN,Condensate,X11,TRUE,PoW/PoS,121665451.6,500000000.00
TAU,Lamden Tau,DPoS,TRUE,DPoS,288090567.5,500000000.00
GUN,GunCoin,NeoScrypt,TRUE,PoW,299797953,500000000.00
CIF,Crypto Improvement Fund,X11,TRUE,PoW,211297638.5,500000000.00
MEDIC,MedicCoin,Scrypt,TRUE,PoS,267297676.3,500000000.00
BBK,BitBlocks,Scrypt,TRUE,PoW/PoS,0,500000000.00
BEET,Beetle Coin,XEVAN,TRUE,PoW/PoS,198938144.4,500000000.00
PINK,PinkCoin,X11,TRUE,PoW/PoS,436353624.5,500000000.00
S8C,S88 Coin,Scrypt,TRUE,PoW/PoS,,520000000.00
CKC,Clockcoin,SHA-256,TRUE,PoW/PoS,16662820,525000000.00
404,404Coin,Scrypt,TRUE,PoW/PoS,1055184902,532000000.00
GLX,GalaxyCoin,Scrypt,TRUE,PoW/PoS,,538214400.00
ARO,Arionum,SHA-512,FALSE,PoW,60045900,545399000.00
AC3,AC3,X11,TRUE,PoW,80316207,550000000.00
THS,TechShares,DPoS,TRUE,DPoS,,600000000.00
VEG,BitVegan,PoS,TRUE,PoS,,600000000.00
PLTC,PlatinCoin,CryptoNight,TRUE,PoW,84300,600000518.00
POSQ,Poseidon Quark,Quark,TRUE,PoS,2716264.953,650000000.00
MONEY,MoneyCoin,Scrypt,TRUE,PoW/PoS,10914418,650659833.00
LC,Lutetium Coin,X11,TRUE,PoS,657000000,657000000.00
XSH,SHIELD,Multiple,TRUE,PoW,481730566.6,660000000.00
PEC,PeaceCoin,X11,TRUE,PoW,,700000000.00
PINKX,PantherCoin,Scrypt,TRUE,PoW/PoS,,735000000.00
GHC,GhostCoin,Scrypt,TRUE,PoW/PoS,,750000000.00
EXIT,ExitCoin,Scrypt,TRUE,PoW/PoS,,756000000.00
TOKC,Tokyo Coin,X13,TRUE,PoS,230298925,800000000.00
LCC,LitecoinCash,SHA-256 + Hive,TRUE,PoW + Hive,638382332.2,840000000.00
UWC,Uwezocoin,Scrypt,FALSE,PoW,0,840000000.00
XSTC,Safe Trade Coin,Scrypt,TRUE,PoS,0,840000000.00
EMB,EmberCoin,X13,TRUE,PoW/PoS,92192822723,850000000.00
TRTK,TrollTokens,SHA-256,FALSE,PoW/PoS,,860000000.00
SYS,SysCoin,SHA-256,TRUE,PoW,563336541.3,888000000.00
DOT,Dotcoin,Scrypt,TRUE,PoW,0,890000000.00
TROLL,Trollcoin,Scrypt,TRUE,PoW/PoS,591022748,900000000.00
WCG,World Crypto Gold,SHA-256,TRUE,Proof of Stake,,900000000.00
SHARD,ShardCoin,Scrypt,FALSE,PoS,24924986.09,900000000.00
SLX,Slate,Slatechain,TRUE,PoW,,950000000.00
FX,FCoin,Scrypt,TRUE,PoW/PoS,,987600000.00
LTHN,Lethean,CryptoNight-V7,TRUE,PoW,441250233.4,999481516.00
COMM,Community Coin,Scrypt,TRUE,PoW/PoS,,1000000000.00
ZCC,ZCC Coin,Scrypt,TRUE,PoW/PoS,147990238,1000000000.00
ABY,ArtByte,Scrypt,TRUE,PoW,792537250,1000000000.00
FLDC,Folding Coin,Stanford Folding,TRUE,PoW,719416990,1000000000.00
RBR,Ribbit Rewards,Multiple,TRUE,PoW,,1000000000.00
NODE,Node,Curve25519,TRUE,PoA,,1000000000.00
EMC,Emercoin,SHA-256,TRUE,PoW/PoS,43059794.8,1000000000.00
WMC,WMCoin,X11,TRUE,PoS,,1000000000.00
EQUAL,EqualCoin,X13,TRUE,PoW/PoS,,1000000000.00
BASH,LuckChain,Scrypt,TRUE,PoW/PoS,0,1000000000.00
DLR,DollarOnline,X11,TRUE,PoW/PoS,,1000000000.00
ACN,AvonCoin,PoS,TRUE,PoS,,1000000000.00
LEPEN,LePenCoin,SHA-256,TRUE,PoS,,1000000000.00
VLTC,VaultCoin,X11,TRUE,PoW,30385540,1000000000.00
CHAT,OpenChat,Scrypt,TRUE,PoW/PoS,1000000000,1000000000.00
ZENI,Zennies,Scrypt,TRUE,PoS,,1000000000.00
LMC,LomoCoin,Scrypt,TRUE,PoW/PoS,500000,1000000000.00
LBTC,LiteBitcoin,Scrypt,TRUE,PoW,0,1000000000.00
EDDIE,Eddie coin,Scrypt,TRUE,PoW/PoS,,1000000000.00
MUT,Mutual Coin,Scrypt,FALSE,PoW/PoS,0,1000000000.00
ACHN,Achain,DPoS,TRUE,DPoS,,1000000000.00
CVNG,Crave-NG,SHA-256,TRUE,PoS,,1000000000.00
ONT,Ontology,VBFT,TRUE,PoS,650848625,1000000000.00
TUBE,BitTube,CryptoNight,TRUE,PoW,80049082.91,1000000000.00
LELE,Lelecoin,Curve25519,TRUE,PoS,,1000000000.00
PLURA,PluraCoin,CryptoNight,TRUE,PoW,560085952.4,1000000000.00
DEI,Deimos,Scrypt,FALSE,PoW,269143950.6,1000000000.00
TPC,TPCash,Scrypt,TRUE,PoW/PoS,5403802.496,1000000000.00
BITN,Bitcoin Nova,CryptoNight,FALSE,PoW,484454200,1000000000.00
KCASH,Kcash,SHA-512,TRUE,Zero-Knowledge Proof,1000000000,1000000000.00
AAC,Acute Angle Cloud,ECC 256K1,TRUE,DPOS,1000000000,1000000000.00
FOREX,FOREXCOIN,Scrypt,TRUE,PoW,,1000000000.00
ALX,ALAX,DPoS,TRUE,DPoS,1000000000,1000000000.00
AMBER,AmberCoin,X11,TRUE,PoW/PoS,,1000000000.00
CESC,Crypto Escudo,Scrypt,TRUE,PoW,780210700,1000000000.00
PIGGY,Piggy Coin,X11,TRUE,PoW/PoS,494240666,1000000000.00
RAIZER,RAIZER,SHA-256,FALSE,PoW,,1000000000.00
ILT,iOlite,Ethash,TRUE,PoW,0,1000000000.00
TCH,TigerCash,SHA-256,TRUE,PoS,1000000000,1000000000.00
TIP,Tip Blockchain,DPoS,TRUE,PoS,,1000000000.00
NXT,Nxt,PoS,TRUE,PoS/LPoS,1000000000,1000000000.00
SERO,Super Zero,Ethash,TRUE,PoW,,1000000000.00
UOS,UOS,SHA-256,TRUE,DPoI,,1000000000.00
CMPCO,CampusCoin,Scrypt,TRUE,PoW,0,1010000000.00
COX,CobraCoin,Scrypt,TRUE,PoW/PoS,,1012941176.00
ONX,Onix,X11,TRUE,PoW,122475638.4,1100000000.00
KREDS,KREDS,Lyra2REv2,TRUE,PoW,643795911.5,1100000000.00
COVAL,Circuits of Value,Multiple,TRUE,PoW,1000000000,1200000000.00
NAMO,NamoCoin,NIST5,TRUE,PoW/PoS,560563220,1200000000.00
SHREK,ShrekCoin,Scrypt,TRUE,PoW/PoS,,1246000000.00
SOUL,SoulCoin,Scrypt,TRUE,PoW/PoS,,1400000000.00
BDX,Beldex,CryptoNight,TRUE,PoW,980222595,1400222610.00
GDC,GrandCoin,Scrypt,TRUE,PoW,884125802,1420609614.00
HALLO,Halloween Coin,X11,TRUE,PoW/PoS,264678458.3,1500000000.00
MM,MasterMint,X11,TRUE,PoS,,1500000000.00
LIV,LiviaCoin,Scrypt,TRUE,PoW/PoS,,1572000000.00
USDE,UnitaryStatus Dollar,Scrypt,TRUE,PoW/PoS,1098952593,1600000000.00
TOT,TotCoin,Scrypt,TRUE,PoW/PoS,,1613150000.00
LOOK,LookCoin,X11,TRUE,PoW/PoS,,1613150000.00
NLG,Gulden,Scrypt,TRUE,PoW,415032420,1680000000.00
DUX,DuxCoin,Scrypt,TRUE,PoW/PoS,,1680000000.00
GOLF,GolfCoin,SHA-256D,FALSE,PoW/PoS,0,1713134800.00
WINE,WineCoin,Scrypt,TRUE,PoW/PoS,,1744000000.00
WEBC,Webchain,CryptoNight-V7,TRUE,PoW,15580199.31,1750000000.00
ELM,Elements,X11,TRUE,PoW,2702855669,1800000000.00
XCN,Cryptonite,M7 POW,TRUE,PoW,708506520,1840000000.00
GRFT,Graft Blockchain,CryptoNight,TRUE,PoW/PoS,,1844674400.00
RING,RingCoin,Scrypt,TRUE,PoW/PoS,,1900000000.00
ISH,Interstellar Holdings,Scrypt,FALSE,PoS,0,1970000000.00
ANI,Animecoin,Quark,TRUE,PoW,,1976000000.00
ARM,Armory Coin,Scrypt,TRUE,PoW/PoS,,1990000000.00
XMY,MyriadCoin,Multiple,TRUE,PoW,1688254250,2000000000.00
CACH,Cachecoin,Scrypt,TRUE,PoW,,2000000000.00
YAC,YAcCoin,Scrypt,TRUE,PoW,,2000000000.00
PUT,PutinCoin,Scrypt,TRUE,PoW/PoS,813092338.6,2000000000.00
LEA,LeaCoin,SHA-256,TRUE,PoW,0,2000000000.00
GRW,GrowthCoin,Scrypt,TRUE,PoS,295135466.4,2000000000.00
DCY,Dinastycoin,CryptoNight,TRUE,PoW,1809467143,2000000000.00
OPC,OP Coin,Scrypt,TRUE,PoW/PoS,0,2000000000.00
HCXP,HCX PAY,CryptoNight,FALSE,PoW,,2000000000.00
ZEPH,ZEPHYR,SHA-256,TRUE,DPoS,1999999995,2000000000.00
ZSE,ZSEcoin,X11,TRUE,PoW/PoS,0,2093500000.00
BS,BlackShadowCoin,X11,TRUE,PoW/PoS,,2100000000.00
XNC,XenCoin,Scrypt,TRUE,PoW,,2100000000.00
MRSA,MrsaCoin,X13,TRUE,PoW/PoS,,2100000000.00
JANE,JaneCoin,X11,TRUE,PoW/PoS,,2100000000.00
PPAI,Project Pai,SHA-256,TRUE,PoW,2100000000,2100000000.00
VBK,VeriBlock,SHA-256,TRUE,PoW,,2100000000.00
VOLLAR,Vollar,Equihash+Scrypt,TRUE,PoW,100000000,2100000000.00
IW,iWallet,X11,TRUE,PoW/PoS,,2142857142.86
SAFEX,SafeExchangeCoin,Scrypt,TRUE,PoC,2147483647,2147483647.00
BURST,BurstCoin,Shabal256,TRUE,PoC,1813033920,2158812800.00
SSTC,SunShotCoin,X11,TRUE,PoW,0,2250000000.00
365,365Coin,X11,TRUE,PoW/PoS,,2300000000.00
TIT,TittieCoin,PHI1612,TRUE,PoS,1622326490,2300000000.00
BLAS,BlakeStar,Blake2S,TRUE,PoW/PoS,,2400000000.00
TGCC,TheGCCcoin,X13,TRUE,PoW/PoS,,2400000000.00
MZC,MazaCoin,SHA-256,TRUE,PoW/PoS,1613836100,2419200000.00
MTLM3,Metal Music v3,Scrypt,FALSE,PoW/PoS,,2500000000.00
CHIEF,TheChiefCoin,Scrypt,TRUE,PoW/PoS,,2500000000.00
SMF,SmurfCoin,Scrypt,TRUE,PoW/PoS,,2500000000.00
ILC,ILCoin,SHA-256,TRUE,PoW,1317747500,2500000000.00
SPEC,SpecCoin,Scrypt,TRUE,PoW,,3000000000.00
STALIN,StalinCoin,X11,TRUE,PoW/PoS,,3000000000.00
KRM,Karma,Groestl,TRUE,PoS,,3000000000.00
SCN,Swiscoin,Scrypt,TRUE,PoW/PoW,665200057,3100000000.00
CIR,CircuitCoin,SHA-256D,TRUE,PoW/PoS,,3125000000.00
PUPA,PupaCoin,Blake2S,TRUE,PoW/PoS,,3500000000.00
BTS,Bitshares,SHA-512,TRUE,PoS,2741570000,3600570502.00
TELL,Tellurion,X11,TRUE,PoW/PoS,,3652422000.00
RCX,RedCrowCoin,Scrypt,TRUE,PoW/PoS,,3966666667.00
BSR,BitSoar Coin,X11,FALSE,PoS,3680297312,3980000000.00
EB3,EB3coin,Scrypt,TRUE,PoW,64096052,4000000000.00
UFO,UFO Coin,NeoScrypt,TRUE,PoW,3824685012,4000000000.00
GENX,Genesis Network,Equihash,TRUE,PoW,,4100000000.00
ACID,AcidCoin,SHA-256,TRUE,PoW,,4500000000.00
MUU,MilkCoin,SHA-256,TRUE,PoW/PoS ,,4500000000.00
BOMBC,BombCoin,Scrypt,TRUE,PoW/PoS,,4516129032.00
XPS,PoisonIvyCoin,Scrypt,TRUE,PoW/PoS,,4666666667.00
BTMI,BitMiles,Scrypt,TRUE,PoW,,4832660000.00
NEF,NefariousCoin,Scrypt,TRUE,PoW/PoS,,4835000000.00
LYC,LycanCoin,Scrypt,TRUE,PoW,,4950000000.00
POP,PopularCoin,Scrypt,TRUE,PoW,3964201249,4999999999.00
HMP,HempCoin,Scrypt-n,TRUE,PoW,0,5000000000.00
BTLC,BitLuckCoin,PoS,TRUE,PoS,,5000000000.00
BOSON,BosonCoin,X11,TRUE,PoW/PoS,,5000000000.00
JOK,JokerCoin,Scrypt,TRUE,PoW/PoS,,5000000000.00
TAP,TappingCoin,X11,TRUE,PoW/PoS,,5000000000.00
SMART,SmartCash,Keccak,TRUE,PoW,2241009149,5000000000.00
SCA,SiaClassic,Blake2b,FALSE,PoW,,5000000000.00
TTN,Titan Coin,SHA-256D,TRUE,PoW/PoS,896361168,5000000000.00
FIII,Fiii,SHA3-256,TRUE,DPoC,-5917977548,5000000000.00
DEAL,iDealCash,Scrypt,TRUE,PoW/PoS,1404157529,5121951220.00
BBP,BiblePay,Proof-of-BibleHash,TRUE,POBh,1772091550,5200000000.00
TLP,TulipCoin,Scrypt,TRUE,PoW/PoS,,5250000000.00
EDC,EDC Blockchain,SHA-256,TRUE,DPoS/LPoS,,5352058721.53
KST,StarKST,Scrypt,TRUE,PoW,,6000000000.00
CLO,Callisto Network,Ethash,TRUE,PoW,247612453,6500000000.00
NPC,NPCcoin,SHA-256D,TRUE,PoW/PoS,0,7000000000.00
ELT,Electron,Blake,FALSE,PoW,24156921.99,7000000000.00
BLC,BlakeCoin,Blake,TRUE,PoW,23356790.15,7000000000.00
MG,Mind Gene,SHA-256,TRUE,PoW/PoS,,7500000000.00
